Link,Year,Month,Heading,Response date,requested by
https://www.nzta.govt.nz/assets/About-us/docs/oia-2023/OIA-11860-response-jamie-ensor.pdf,2023,February,Road Safety promotion spend from 2021–2022,Responded: 14 February 2023,Requested by: Newsroom
https://www.nzta.govt.nz/assets/About-us/docs/oia-2023/oia-11593-response-letter.pdf,2023,Februrary,Information about Waka Kotahi end of year staff events,Responded: 9 Feburary 2023,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia2-2023/OIA-11835-response-letter.pdf,2023,Februrary,"SH29, SH29a and SH24 speed review",Responded: 9 February 2023,
https://www.nzta.govt.nz/assets/About-us/docs/oia2-2023/oia-11837-response-letter.pdf,2023,January,Information on the number of crashes on Egmont Street Taranaki,Responded: 26 January 2023,
https://www.nzta.govt.nz/assets/About-us/docs/oia2-2023/oia-11788-response-letter.pdf,2023,January,Road cone placement and complaints received about road cones between 2018–2022,Responded: 25 January 2023,
https://www.nzta.govt.nz/assets/About-us/docs/oia-2022/OIA-11558-response-letter.pdf,2022,December,Limited Licence processing times,Responded: 15 December 2022,Requested by: Wairarapa Age Times
https://www.nzta.govt.nz/assets/About-us/docs/oia-2022/oia-11274-jordan-bond-response-letter.pdf,2022,November,Cost of flood repairs on state highways and local roads,Responded: 28 November 2022,Requested by: Jordan Bond [Freelance Journalist]
https://www.nzta.govt.nz/assets/About-us/docs/oia-2022/oia-11271-elijah-hill.pdf,2022,November,Information regarding compensation requests for damage to vehicles in Taranaki,Responded: 7 November 2022,Requested by: Stuff
https://www.nzta.govt.nz/assets/About-us/docs/oia-2022/oia-9954-response-karen-rutherford.pdf,2022,September,Statistics on potholes and compensation claims (2017-2022),Responded: 12 September 2022,Requested by: Newshub
https://www.nzta.govt.nz/assets/About-us/docs/oia-2022/oia-10323-zane-small.pdf,2022,July,Clean car scheme rebates and penalties issued,Responded: 12 July 2022,Requested by: Newshub
https://www.nzta.govt.nz/assets/About-us/docs/oia-2022/oia-9350-joel-mcmanus.pdf,2022,February,SH1 Linden to MacKays Crossing fatalities,Responded: 15 February 2022,Requested by: Stuff
https://www.nzta.govt.nz/assets/About-us/docs/oia-2021/OIA-8597-response.pdf,2021,August,Clean Car Programme advertisement spend,Responded: 26 August 2021,Requested: Newshub Digital Discover NZ
https://www.nzta.govt.nz/assets/About-us/docs/oia-2021/OIA-8177-response.pdf,2021,June,"Crashes at the intersection of Kiddle Drive/Arrowsmith Avenue, Taupo",Responded: 21 June 2021,Requested: Stuff
https://www.nzta.govt.nz/assets/About-us/docs/oia-2021/oia-8149-response.pdf,2021,June,Complaints about Ola,Responded: 14 June 2021,Requested: Consumer NZ
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-15834-response-letter.pdf,2024,July ,Incidents involving cyclists and pedestrians wearing headphones during 2018 and 2023,Responded: 18 July 2024,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-15501-response-letter.pdf,2024,June,Road to Zero spending in the last financial year 2022/23,Responded: 21 June 2024,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-15257-response-letter.pdf,2024,May,Waitemata Harbour Connections,Responded: 27 May 2024,Requested by: NZ Herald
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-14329-response-letter.pdf,2024,January,Waitamatā Harbour Connections IBC development,Responded: 26 January 2024,Requested by: Member of the public
